FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8024608,1HWM,A:1-251,Q9AVR2,26-276,8036987,1HWM,A:1-251,Q9AVR2,26-276,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8027917,1R4Q,A:1-289,Q9FBI2,23-311,8040296,1R4Q,A:1-289,Q9FBI2,23-311,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002413",1,1000003,2000739,3001164,4002413
8027930,3CTK,A:3-248,Q8W4U4,29-274,8040309,3CTK,A:3-248,Q8W4U4,29-274,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8029396,2GA4,A:1-297,P09385,23-319,8041775,2GA4,A:1-297,P09385,23-319,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002413",1,1000003,2000739,3001164,4002413
8029589,1UQ5,A:5-267,P02879,40-302,8041968,1UQ5,A:5-267,P02879,40-302,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8029894,1RL0,A:1-255,P24476,24-278,8042273,1RL0,A:1-255,P24476,24-278,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8032070,1GGP,A:12-248,Q7SIF0,1-234,8044448,1GGP,A:12-248,Q7SIF0,1-234,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8071055,1RZO,A:1004-1262,P06750,28-286,8071056,1RZO,A:1004-1262,P06750,28-286,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8071059,3BWH,A:1-244,D0VWS7,1-244,8071060,3BWH,A:1-244,D0VWS7,1-244,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8071061,3KTZ,A:1-251,P33186,47-297,8071062,3KTZ,A:1-251,P33186,47-297,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8071067,1CE7,A:1-241,Q6ITZ3,1-240,8071068,1CE7,A:1-241,Q6ITZ3,1-240,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8071081,4Z8S,A:1-247,B7X8M2,24-270,8071082,4Z8S,A:1-247,B7X8M2,24-270,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8073995,4P2C,A:1-296,Q7WUF4,23-318,8073996,4P2C,A:1-296,Q7WUF4,23-318,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002413",1,1000003,2000739,3001164,4002413
8077768,4HR6,B:48-253,U3KRF8,48-253,8077769,4HR6,B:48-253,U3KRF8,48-253,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8093773,6Z1Y,C:1-247,Q9LRE3,1-247,8093774,6Z1Y,C:1-247,Q9LRE3,1-247,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002385",1,1000003,2000739,3001164,4002385
8093803,6U3U,A:1-297,L0I969,23-319,8093804,6U3U,A:1-297,L0I969,23-319,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002413",1,1000003,2000739,3001164,4002413
8097213,6X6H,A1:1-242,A9ZMR8,23-264,8097214,6X6H,A1:1-242,A9ZMR8,23-264,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002413",1,1000003,2000739,3001164,4002413
8099971,4M1U,A:1-297,Q7DI68,23-319,8099972,4M1U,A:1-297,Q7DI68,23-319,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002413",1,1000003,2000739,3001164,4002413
8102916,7D6Q,A:1-297,Q8XBV2,23-319,8102917,7D6Q,A:1-297,Q8XBV2,23-319,"TP=1,CL=1000003,CF=2000739,SF=3001164,FA=4002413",1,1000003,2000739,3001164,4002413
8091666,2BCG,G:128-229,P39958,128-229,8091667,2BCG,G:128-229,P39958,128-229,"TP=1,CL=1000000,CF=2000035,SF=3002533,FA=4007752",1,1000000,2000035,3002533,4007752
8091668,1VG0,A:273-367,P37727,273-367,8091669,1VG0,A:273-367,P37727,273-367,"TP=1,CL=1000000,CF=2000035,SF=3002533,FA=4007752",1,1000000,2000035,3002533,4007752
8091670,1LV0,A:121-221,P21856,121-221,8091671,1LV0,A:121-221,P21856,121-221,"TP=1,CL=1000000,CF=2000035,SF=3002533,FA=4007752",1,1000000,2000035,3002533,4007752
8021377,1NZA,A:1-103,Q7SIA8,1-103,8033757,1NZA,A:1-103,Q7SIA8,1-103,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8022185,1P1L,A:1-102,O28301,1-102,8034565,1P1L,A:1-102,O28301,1-102,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8022872,2PII,A:1-112,P0A9Z1,1-112,8035252,2PII,A:1-112,P0A9Z1,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8022878,1GNK,B:1-112,P0AC55,1-112,8035258,1GNK,B:1-112,P0AC55,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8023440,1H3D,A:225-299,P60757,225-299,8035820,1H3D,A:225-299,P60757,225-299,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4003656",1,1000003,2000014,3001165,4003656
8024362,1NAQ,A:7-112,P69488,7-112,8036741,1NAQ,A:7-112,P69488,7-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8024831,1O51,A:1-100,Q9WXM9,1-100,8037210,1O51,A:1-100,Q9WXM9,1-100,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4000638",1,1000003,2000014,3001165,4000638
8024842,1O5J,A:1-101,Q9X0E6,1-101,8037221,1O5J,A:1-101,Q9X0E6,1-101,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8025384,1OSC,A:6-113,Q6MGD0,61-168,8037763,1OSC,A:6-113,Q6MGD0,61-168,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8026030,2ZFH,A:63-169,O60888,63-169,8038409,2ZFH,A:63-169,O60888,63-169,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8027030,2CZ4,A:1-100,Q5SKX7,1-100,8039409,2CZ4,A:1-100,Q5SKX7,1-100,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8027706,1QY7,A:1-112,P0A3F4,1-112,8040085,1QY7,A:1-112,P0A3F4,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8029487,1UKU,A:1-102,O58720,1-102,8041866,1UKU,A:1-102,O58720,1-102,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8029488,1UL3,A:1-112,Q55247,1-112,8041867,1UL3,A:1-112,Q55247,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8030697,1VFJ,A:1-116,P83820,1-116,8043076,1VFJ,A:1-116,P83820,1-116,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8031440,1NH8,A:211-284,P9WMN1,211-284,8043818,1NH8,A:211-284,P9WMN1,211-284,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4003656",1,1000003,2000014,3001165,4003656
8032157,1HWU,A:1-112,P94852,1-112,8044535,1HWU,A:1-112,P94852,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8063677,2ZOM,B:6-113,Q109R6,70-177,8063678,2ZOM,B:6-113,Q109R6,70-177,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8063679,4E98,B:10-115,Q5CX58,11-116,8063680,4E98,B:10-115,Q5CX58,11-116,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8063681,4IYQ,A:2-107,Q2GG79,1-106,8063682,4IYQ,A:2-107,Q2GG79,1-106,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8063683,3GSD,A:15-119,Q74XD3,15-119,8063684,3GSD,A:15-119,Q74XD3,15-119,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8063685,3OPK,A:12-115,Q7CPA2,12-115,8063686,3OPK,A:12-115,Q7CPA2,12-115,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8063687,2NUH,A:3-106,Q9PFN8,3-106,8063688,2NUH,A:3-106,Q9PFN8,3-106,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8063689,3AHP,A:3-108,E7FH74,3-108,8063690,3AHP,A:3-108,E7FH74,3-108,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8074408,3N5B,A:1-112,Q9L422,1-112,8074409,3N5B,A:1-112,Q9L422,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074410,3BZQ,A:1-112,P9WN31,1-112,8074411,3BZQ,A:1-112,P9WN31,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074412,2GW8,A:1-112,Q9JXK6,1-112,8074413,2GW8,A:1-112,Q9JXK6,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074414,2EG1,A:1-112,O66513,1-112,8074415,2EG1,A:1-112,O66513,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074416,3MHY,A:1-112,P70731,1-112,8074417,3MHY,A:1-112,P70731,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074418,2J9C,A:1-112,Q60381,1-112,8074419,2J9C,A:1-112,Q60381,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074420,2O67,C:3-123,Q9ZST4,65-185,8074421,2O67,C:3-123,Q9ZST4,65-185,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074422,3L7P,B:1-104,Q8DSV2,1-104,8074423,3L7P,B:1-104,Q8DSV2,1-104,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074424,3O8W,A:1-109,O29284,12-120,8074425,3O8W,A:1-109,O29284,12-120,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074426,3T9Z,A:1-109,O28524,12-120,8074427,3T9Z,A:1-109,O28524,12-120,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074428,3NCP,A:1-112,O28527,1-112,8074429,3NCP,A:1-112,O28527,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074430,4USJ,C:3-144,A8JI83,64-205,8074431,4USJ,C:3-144,A8JI83,64-205,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074432,4OZN,C:4-123,B8ZYW1,4-123,8074433,4OZN,C:4-123,B8ZYW1,4-123,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8074434,4R25,A:10-121,Q07428,5-116,8074435,4R25,A:10-121,Q07428,5-116,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8086165,5O3P,A:2-110,P73954,2-110,8086166,5O3P,A:2-110,P73954,2-110,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8086167,3DFE,B:1-101,Q3M8P8,1-101,8086168,3DFE,B:1-101,Q3M8P8,1-101,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8086169,5DRK,C:5-106,D5X329,5-106,8086170,5DRK,C:5-106,D5X329,5-106,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8086171,5D4P,C:2-107,D6CQJ8,2-107,8086172,5D4P,C:2-107,D6CQJ8,2-107,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8089359,2DCL,B:2-110,O59172,2-110,8089360,2DCL,B:2-110,O59172,2-110,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4000638",1,1000003,2000014,3001165,4000638
8095014,6NTB,C:2-104,B5II98,2-104,8095015,6NTB,C:2-104,B5II98,2-104,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8095766,6GDU,A:2-113,Q31KX8,2-113,8095767,6GDU,A:2-113,Q31KX8,2-113,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8100297,6T7E,D:1-104,Q8YL42,1-104,8100298,6T7E,D:1-104,Q8YL42,1-104,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632",1,1000003,2000014,3001165,4002632
8102854,6YC6,A:1-112,H7C694,1-112,8102855,6YC6,A:1-112,H7C694,1-112,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256",1,1000003,2000014,3001165,4001256
8046695,3CE8,A:1-101,A3CYS0,1-101,8103599,3CE8,A:1-101,A3CYS0,1-101,"TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4005244",1,1000003,2000014,3001165,4005244
8001473,1FCD,A:1-401,Q06530,31-431,8091673,1FCD,A:328-401,Q06530,358-431,"TP=1,CL=1000003,CF=2000141,SF=3002534,FA=4000130",1,1000003,2000141,3002534,4000130
8084464,3VRD,B:2-401,D0G7Q4,32-431,8093407,3VRD,B:328-401,D0G7Q4,358-431,"TP=1,CL=1000003,CF=2000141,SF=3002534,FA=4000130",1,1000003,2000141,3002534,4000130
8084466,5N1T,A:33-425,W0DP88,37-429,8093408,5N1T,A:355-425,W0DP88,359-429,"TP=1,CL=1000003,CF=2000141,SF=3002534,FA=4000130",1,1000003,2000141,3002534,4000130
8028450,2FEF,B:6-129,Q9I1R6,6-129,8040829,2FEF,B:6-129,Q9I1R6,6-129,"TP=1,CL=1000000,CF=2001119,SF=3001166,FA=4001257",1,1000000,2001119,3001166,4001257
8051124,5EWN,B:80-411,Q82452,80-411,8091689,5EWN,B:265-411,Q82452,265-411,"TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007207",1,1000001,2000073,3002535,4007207
8051125,5IBV,A:77-412,Q9IFX1,77-412,8091690,5IBV,A:265-412,Q9IFX1,265-412,"TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007207",1,1000001,2000073,3002535,4007207
8093109,3HAG,A:118-459,Q9IVZ8,130-471,8093111,3HAG,A:318-446,Q9IVZ8,330-458,"TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007793",1,1000001,2000073,3002535,4007793
8093113,2ZTN,A:129-459,Q1AHU7,129-459,8093115,2ZTN,A:318-446,Q1AHU7,318-446,"TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007793",1,1000001,2000073,3002535,4007793
8093117,2ZZQ,A:118-459,P29326,118-459,8093119,2ZZQ,A:318-446,P29326,318-446,"TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007793",1,1000001,2000073,3002535,4007793
8093121,3IYO,D:118-459,Q1AHV0,118-459,8093123,3IYO,D:318-446,Q1AHV0,318-446,"TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007793",1,1000001,2000073,3002535,4007793
8093127,1IHM,A:1224-1520,Q83884,224-520,8093126,1IHM,"A:1228-1262,A:1414-1520",Q83884,"228-262,414-520","TP=1,CL=1000001,CF=2000073,SF=3002535,FA=4007794",1,1000001,2000073,3002535,4007794
8026006,1Q0G,A:1-117,P80734,15-131,8038385,1Q0G,A:1-117,P80734,15-131,"TP=1,CL=1000000,CF=2000080,SF=3001167,FA=4002388",1,1000000,2000080,3001167,4002388
8027670,1T6U,A:1-117,P80735,15-131,8040049,1T6U,A:1-117,P80735,15-131,"TP=1,CL=1000000,CF=2000080,SF=3001167,FA=4002388",1,1000000,2000080,3001167,4002388
8045732,5X6B,F:34-102,Q58876,34-102,8091696,5X6B,F:34-102,Q58876,34-102,"TP=1,CL=1000000,CF=2001476,SF=3002536,FA=4004646",1,1000000,2001476,3002536,4004646
8022918,2P0M,A:2-112,P12530,2-112,8035298,2P0M,A:2-112,P12530,2-112,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389",1,1000001,2000740,3001168,4002389
8025254,1OLP,A:250-370,Q8GCY3,278-398,8037633,1OLP,A:250-370,Q8GCY3,278-398,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002405",1,1000001,2000740,3001168,4002405
8028695,1YGE,A:1-149,P08170,1-149,8041074,1YGE,A:1-149,P08170,1-149,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389",1,1000001,2000740,3001168,4002389
8028698,1HPL,A:337-449,P29183,349-461,8041077,1HPL,A:337-449,P29183,349-461,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002394",1,1000001,2000740,3001168,4002394
8028699,1ETH,A:337-448,P00591,337-448,8041078,1ETH,A:337-448,P00591,337-448,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002394",1,1000001,2000740,3001168,4002394
8028705,1LPB,B:337-449,P16233,353-465,8041084,1LPB,B:337-449,P16233,353-465,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002394",1,1000001,2000740,3001168,4002394
8028712,1RP1,A:337-449,P06857,354-466,8041091,1RP1,A:337-449,P06857,354-466,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002394",1,1000001,2000740,3001168,4002394
8028713,1BU8,A:337-449,P54318,353-465,8041092,1BU8,A:337-449,P54318,353-465,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002394",1,1000001,2000740,3001168,4002394
8028716,1QMD,A:250-370,Q0TV31,278-398,8041095,1QMD,A:250-370,Q0TV31,278-398,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002405",1,1000001,2000740,3001168,4002405
8029927,1RRH,A:8-167,P09186,8-167,8042306,1RRH,A:8-167,P09186,8-167,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389",1,1000001,2000740,3001168,4002389
8101059,2IUJ,A:8-163,Q43446,8-163,8101060,2IUJ,A:8-163,Q43446,8-163,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389",1,1000001,2000740,3001168,4002389
8101093,3V92,A:4-114,P09917,2-115,8101094,3V92,A:4-114,P09917,2-115,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389",1,1000001,2000740,3001168,4002389
8101095,4NRE,A:2-121,O15296,2-121,8101096,4NRE,A:2-121,O15296,2-121,"TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389",1,1000001,2000740,3001168,4002389
8045733,3TUL,D:83-226,Q56019,83-226,8091699,3TUL,D:83-226,Q56019,83-226,"TP=3,CL=1000000,CF=2001019,SF=3002537,FA=4004647",3,1000000,2001019,3002537,4004647
8045734,3U0C,A:74-224,P18011,74-224,8091700,3U0C,A:74-224,P18011,74-224,"TP=3,CL=1000000,CF=2001019,SF=3002537,FA=4004647",3,1000000,2001019,3002537,4004647
8030169,1CL3,A:4-141,Q13951,4-141,8042548,1CL3,A:4-141,Q13951,4-141,"TP=1,CL=1000001,CF=2000741,SF=3001169,FA=4002390",1,1000001,2000741,3001169,4002390
8030170,2JHB,A:3-143,Q08024,1-141,8042549,2JHB,A:3-143,Q08024,1-141,"TP=1,CL=1000001,CF=2000741,SF=3001169,FA=4002390",1,1000001,2000741,3001169,4002390
8026620,2BZB,A:1-54,A0A4Y1VZT9,19-72,8038999,2BZB,A:1-54,A0A4Y1VZT9,19-72,"TP=1,CL=1000000,CF=2001135,SF=3001170,FA=4001258",1,1000000,2001135,3001170,4001258
8102041,2C0S,A:1-57,A0A6L7H8X9,1-57,8102042,2C0S,A:1-57,A0A6L7H8X9,1-57,"TP=1,CL=1000000,CF=2001135,SF=3001170,FA=4001258",1,1000000,2001135,3001170,4001258
8051166,4P16,A:1-319,K0BWD0,1482-1800,8091709,4P16,A:177-241,K0BWD0,1658-1722,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8051167,4R3D,A:3-326,K9N638,1483-1806,8091712,4R3D,A:178-242,K9N638,1658-1722,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8051169,4RNA,A:2-322,K4LC41,1483-1803,8091715,4RNA,A:177-241,K4LC41,1658-1722,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8051171,3E9S,A:2-315,P0C6U8,1541-1854,8091718,3E9S,A:177-240,P0C6U8,1716-1779,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8051172,4RF1,A:1483-1803,M4STU1,1483-1803,8091721,4RF1,A:1658-1722,M4STU1,1658-1722,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8051173,3MP2,A:10-220,P0C6V2,1071-1281,8091724,3MP2,A:92-147,P0C6V2,1153-1208,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8051175,4WUR,A:3-319,K9N7C7,1484-1800,8091726,4WUR,A:177-242,K9N7C7,1658-1723,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8051176,4YPT,A:1610-1910,P0C6X9,1610-1910,8091729,4YPT,A:1781-1842,P0C6X9,1781-1842,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8092566,6W9C,A:3-315,P0DTD1,1566-1878,8092568,6W9C,A:176-239,P0DTD1,1739-1802,"TP=1,CL=1000004,CF=2000112,SF=3002538,FA=4007227",1,1000004,2000112,3002538,4007227
8028961,2FUG,1:334-438,Q56222,334-438,8041340,2FUG,1:334-438,Q56222,334-438,"TP=1,CL=1000000,CF=2001119,SF=3001171,FA=4001259",1,1000000,2001119,3001171,4001259
8045736,4E6K,G:1-57,Q9HY80,1-57,8091738,4E6K,G:1-57,Q9HY80,1-57,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4004649",1,1000003,2001478,3002540,4004649
8046312,2QCU,A:392-501,P13035,392-501,8091739,2QCU,A:439-501,P13035,439-501,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4005013",1,1000003,2001478,3002540,4005013
8046311,2RGO,A:474-605,D0VWP7,474-605,8091742,2RGO,A:519-579,D0VWP7,519-579,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4005013",1,1000003,2001478,3002540,4005013
8046313,2RGH,A:474-606,D0VWY7,424-556,8091745,2RGH,A:518-579,D0VWY7,468-529,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4005013",1,1000003,2001478,3002540,4005013
8046314,3DA1,A:411-549,Q9KDW6,411-549,8091748,3DA1,A:458-522,Q9KDW6,458-522,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4005013",1,1000003,2001478,3002540,4005013
8091753,1Y56,A:405-466,O59088,407-468,8091754,1Y56,A:405-466,O59088,407-468,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4007758",1,1000003,2001478,3002540,4007758
8091761,2GAG,A:473-548,Q3ZDQ8,473-548,8091762,2GAG,A:482-539,Q3ZDQ8,482-539,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4007758",1,1000003,2001478,3002540,4007758
8091772,1X31,A:472-546,Q50LF0,473-547,8091773,1X31,A:481-539,Q50LF0,482-540,"TP=1,CL=1000003,CF=2001478,SF=3002540,FA=4007758",1,1000003,2001478,3002540,4007758
8091731,4YPT,A:1533-1609,P0C6X9,1533-1609,8091732,4YPT,A:1533-1609,P0C6X9,1533-1609,"TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757",1,1000003,2000119,3002539,4007757
8091733,6MWM,A:1445-1522,P0C6W3,1445-1522,8091734,6MWM,A:1445-1522,P0C6W3,1445-1522,"TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757",1,1000003,2000119,3002539,4007757
8091735,5UTV,A:4-77,P0C6W5,1345-1418,8091736,5UTV,A:4-77,P0C6W5,1345-1418,"TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757",1,1000003,2000119,3002539,4007757
8047245,2KAF,A:2-67,P0C6U8,1473-1538,8091737,2KAF,A:2-67,P0C6U8,1473-1538,"TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757",1,1000003,2000119,3002539,4007757
8030948,1M6Y,A:115-215,Q9WZX6,115-215,8043327,1M6Y,A:115-215,Q9WZX6,115-215,"TP=1,CL=1000000,CF=2000117,SF=3001172,FA=4002372",1,1000000,2000117,3001172,4002372
8031131,1WG8,A:109-206,Q5SJD8,109-206,8043509,1WG8,A:109-206,Q5SJD8,109-206,"TP=1,CL=1000000,CF=2000117,SF=3001172,FA=4002372",1,1000000,2000117,3001172,4002372
8045737,4WFW,A:115-198,Q01563,115-198,8091777,4WFW,A:115-198,Q01563,115-198,"TP=1,CL=1000001,CF=2001479,SF=3002541,FA=4004650",1,1000001,2001479,3002541,4004650
8046336,2LNV,A:88-158,Q01564,88-158,8091778,2LNV,A:88-158,Q01564,88-158,"TP=1,CL=1000001,CF=2001479,SF=3002541,FA=4005027",1,1000001,2001479,3002541,4005027
8046337,3OSS,C:122-186,E3PJ87,122-186,8091779,3OSS,C:122-186,E3PJ87,122-186,"TP=1,CL=1000001,CF=2001479,SF=3002541,FA=4005027",1,1000001,2001479,3002541,4005027
8045780,4AV2,U:84-165,Q7DD77,84-165,8091780,4AV2,U:84-165,Q7DD77,84-165,"TP=1,CL=1000001,CF=2001479,SF=3002541,FA=4004682",1,1000001,2001479,3002541,4004682
8045781,3JC8,Pb:5-159,Q306N3,5-159,8091781,3JC8,Pb:5-159,Q306N3,5-159,"TP=1,CL=1000001,CF=2001479,SF=3002541,FA=4004682",1,1000001,2001479,3002541,4004682
8045782,2Y4Y,A:83-171,G3XCX7,83-171,8091782,2Y4Y,A:83-171,G3XCX7,83-171,"TP=1,CL=1000001,CF=2001479,SF=3002541,FA=4004682",1,1000001,2001479,3002541,4004682
8045783,2LC4,A:20-103,Q51354,91-174,8091783,2LC4,A:20-103,Q51354,91-174,"TP=1,CL=1000001,CF=2001479,SF=3002541,FA=4004682",1,1000001,2001479,3002541,4004682
